title,card-name,card-count,class,archetype,season,game-mode
Aggro Paladin Deck List,Southsea Deckhand,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Argent Squire,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Shielded Minibot,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Annoy-o-Tron,1,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Arcane Golem,1,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Divine Favor,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Blessing of Kings,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Ironbeak Owl,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Defender of Argus,1,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Hammer of Wrath,1,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Knife Juggler,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Consecration,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Truesilver Champion,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Abusive Sergeant,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Muster for Battle,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Blessing of Might,2,Paladin,Aggro,null,Meta Deck
Aggro Paladin Deck List,Leper Gnome,2,Paladin,Aggro,null,Meta Deck
Pinpingho’s ESL Grand Final Mech Shaman,Annoy-o-Tron,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Tinkertown Technician,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Lava Burst,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Spider Tank,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Crackle,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Doomhammer,1,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Loatheb,1,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Doomhammer,1,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Harvest Golem,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Whirling Zap-o-matic,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Lightning Bolt,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Mechwarper,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Spider Tank,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Hex,1,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Rockbiter Weapon,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Harrison Jones,1,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Lightning Storm,1,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Powermace,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Dr. Boom,1,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Fire Elemental,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Whirling Zap-o-matic,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Crackle,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Mechwarper,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Flametongue Totem,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Azure Drake,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Piloted Shredder,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Kezan Mystic,1,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Cogmaster,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Annoy-o-Tron,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Cogmaster,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Rockbiter Weapon,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Piloted Shredder,2,Shaman,Aggro,Season 11,Tournament
Pinpingho’s ESL Grand Final Mech Shaman,Powermace,2,Shaman,Aggro,Season 11,Tournament
Weifu’s ESL Grand Final Mech Shaman,Flametongue Totem,2,Shaman,Aggro,Season 11,Tournament
TINGoT0NG’s Season 12 Aggro Rogue,Wolfrider,1,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Edwin VanCleef,1,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Perdition's Blade,1,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Azure Drake,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Novice Engineer,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Southsea Deckhand,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Sap,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Defias Ringleader,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Tinker's Sharpsword Oil,1,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Deadly Poison,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Eviscerate,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,SI:7 Agent,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Goblin Auto-Barber,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Gnomish Inventor,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Backstab,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Shiv,1,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Blade Flurry,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Bloodmage Thalnos,1,Rogue,Aggro,Season 12,Ladder
Guukboii Viagame House Cup 2 Aggro Rogue,Coldlight Oracle,2,Rogue,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Annoy-o-Tron,2,Rogue,Aggro,Season 12,Tournament
ThijsNL’s Viagame House Cup 2 Face Hunter,Ironbeak Owl,1,Hunter,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Aggro Rogue,Deadly Poison,2,Rogue,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Spider Tank,2,Mage,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Tinkertown Technician,2,Mage,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Mech Mage,Cogmaster,2,Mage,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Snowchugger,2,Mage,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Snake Trap,1,Hunter,Aggro,Season 12,Tournament
Forsen’s Viagame House Cup 2 Face Hunter,Glaivezooka,1,Hunter,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Kill Command,2,Hunter,Aggro,Season 12,Tournament
Forsen’s Viagame House Cup 2 Face Hunter,Worgen Infiltrator,1,Hunter,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Mech Mage,Annoy-o-Tron,2,Mage,Aggro,Season 12,Tournament
Brian Kibler’s KPL W.4 Face Hunter,Animal Companion,1,Hunter,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Blade Flurry,2,Rogue,Aggro,Season 12,Tournament
Forsen’s Viagame House Cup 2 Face Hunter,Clockwork Gnome,1,Hunter,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,SI:7 Agent,2,Rogue,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Frostbolt,2,Mage,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Piloted Shredder,2,Hunter,Aggro,Season 12,Tournament
